Code_CIQUAL,Groupe_aliment,Sous-groupe_aliment,Nom_Produit_Francais,LCI_Name,Saisonnalite,Transport_par_avion_,Livraison,Materiau_emballage,Preparation,DQR_Note_qualite_la_donnee_,Score_unique_EF_,Score_unique_EF__Agriculture,Score_unique_EF__Transformation,Score_unique_EF__Emballage,Score_unique_EF__Transport,Score_unique_EF__Supermarche_distribution,Score_unique_EF__Consommation
36016,"viandes, œufs, poissons",viandes crues,"Poulet, viande et peau, cru","Chicken, meat and skin, raw",mix de consommation FR,0,Glacé,PS,Pas de préparation,2.66,0.65899946,0.5498385499999999,0.06250245,0.01768459,0.01759518,0.0089437534,0.0024293397
36005,"viandes, œufs, poissons",viandes cuites,"Poulet, viande et peau, rôti/cuit au four","Chicken, meat and skin, roasted/baked",mix de consommation FR,0,Glacé,PS,Four,2.67,0.90369516,0.7279146900000001,0.08274511,0.023412096,0.023293728,0.011840366,0.034481763
36003,"viandes, œufs, poissons",viandes crues,"Poulet, viande, crue","Chicken, meat, raw",mix de consommation FR,0,Glacé,PS,Pas de préparation,2.66,0.65899946,0.5498385499999999,0.06250245,0.01768459,0.01759518,0.0089437534,0.0024293397
12839,lait et produits laitiers,fromages,Pouligny Saint-Pierre (fromage de chèvre),"Pouligny Saint-Pierre cheese, from goat's milk",mix de consommation FR,0,Glacé,LPDE,Pas de préparation,2.45,0.95083965,0.87096995,0.028825098,0.019721226,0.020066903,0.0088270864,0.0024293397
11214,aides culinaires et ingrédients divers,aides culinaires,"Préparation culinaire à base de soja, type ""crème de soja""","Soy ""cream"" preparation",mix de consommation FR,0,Ambiant (long),Carton,Pas de préparation,2.09,0.1864787,0.0947954999999999,0.049300181,0.016462137,0.016023695,0.0098990521,0.0
23403,produits céréaliers,farines et pâtes à tarte,Préparation pour pâte à pizza,Pizza pastry base,mix de consommation FR,0,Glacé,Verre,Four ,2.73,0.21853624,0.065878018,0.034489542,0.053833714,0.0216604969999999,0.0089786658,0.033694973
20267,"fruits, légumes, légumineuses et oléagineux",légumes,"Printanière de légumes, surgelée, crue (haricots verts, carottes, pomme de terre, petits pois, oignons)","Spring vegetables, frozen, raw (French beans, carrots, potatoes, green peas, onions)",mix de consommation FR,0,Congelé,PP,Pas de préparation,2.42,0.14316738,0.079697664,0.0027256101,0.01690514,0.018332819,0.01631405,0.0091920963
23472,glaces et sorbets,desserts glacés,Profiterole avec glace vanille et sauce chocolat,"Profiteroles (chou pastry), with vanilla ice cream and chocolate sauce",mix de consommation FR,0,Congelé,PP,Pas de préparation,2.5,0.40961791,0.28933262,0.061460864,0.015493511,0.018056097,0.015937489,0.0091920963
23474,lait et produits laitiers,produits laitiers frais et assimilés,"Profiteroles (crème pâtissière et sauce chocolat), rayon frais","Profiteroles (chou pastry), with custard and chocolate sauce, refrigerated",mix de consommation FR,0,Glacé,PP,Pas de préparation,2.41,0.4134546,0.30273329,0.064307473,0.016120295,0.018733581,0.0089786658,0.0024293397
12716,lait et produits laitiers,fromages,Provolone,"Provolone cheese, from cow's milk",mix de consommation FR,0,Glacé,LPDE,Pas de préparation,2.24,0.5687670499999999,0.47067906,0.046274272,0.019721226,0.020614588,0.0088270864,0.0024293397
13041,"fruits, légumes, légumineuses et oléagineux",fruits,"Prune Reine-Claude, crue","Greengage plum, raw",mix de consommation FR,0,Ambiant (moyenne),Pas d'emballage,Pas de préparation,2.68,0.40473758,0.37438614,0.0,0.0,0.013259629,0.012872902,0.0042189169
13100,"fruits, légumes, légumineuses et oléagineux",fruits,"Prune, crue","Plum, raw",mix de consommation FR,0,Ambiant (moyenne),Pas d'emballage,Pas de préparation,2.57,0.40473758,0.37438614,0.0,0.0,0.013259629,0.012872902,0.0042189169
13042,"fruits, légumes, légumineuses et oléagineux",fruits,"Pruneau, sec",Prune,mix de consommation FR,0,Ambiant (moyenne),LPDE,Pas de préparation,2.64,1.281872,0.94644815,0.29005817,0.021558384,0.0086230494,0.01518421,0.0
13153,"fruits, légumes, légumineuses et oléagineux",fruits,"Purée de fruits, tout type de fruits, type ""compote sans sucres ajoutés""","Fruits puree, without sugar added",mix de consommation FR,0,Glacé,PS,Pas de préparation ,1.98,0.12435355,0.04652262,0.0316241669999999,0.017842901,0.016955852,0.0089786658,0.0024293397
11056,aides culinaires et ingrédients divers,épices,Quatre épices,Mix of 4 spices,mix de consommation FR,0,Ambiant (long),Verre,Pas de préparation,2.79,0.2294005,0.13224553,0.0,0.051649676,0.035968394,0.0095369029,0.0
23081,produits céréaliers,gâteaux et pâtisseries,"Quatre-quarts ou barre pâtissière, préemballé","Pound cake, prepacked",mix de consommation FR,0,Ambiant (long),PS,Pas de préparation,2.13,0.55404083,0.46028705,0.0549741699999999,0.018692455,0.010192804,0.0098990521,0.0
8933,"viandes, œufs, poissons",charcuteries,"Quenelle de poisson, crue","Fish quenelle, raw",mix de consommation FR,0,Glacé,LPDE,Pas de préparation,3.14,0.8914162400000001,0.7797151400000001,0.041849871,0.020547848,0.037898076,0.0089786658,0.0024293397
8932,"viandes, œufs, poissons",charcuteries,"Quenelle de poisson, en sauce","Fish quenelle, in sauce",mix de consommation FR,0,Glacé,LPDE,Four ,3.14,0.92268188,0.7797151400000001,0.041849871,0.020547848,0.037898076,0.0089786658,0.033694973
8903,"viandes, œufs, poissons",charcuteries,"Quenelle de veau, en sauce","Veal quenelle, in sauce",mix de consommation FR,0,Glacé,LPDE,Four ,2.59,0.73839179,0.61589965,0.044151901,0.020548287,0.015123494,0.0089786658,0.033694973
8910,"viandes, œufs, poissons",charcuteries,"Quenelle de volaille, crue","Poultry quenelle, raw",mix de consommation FR,0,Glacé,LPDE,Pas de préparation,2.65,0.83301395,0.70214486,0.08002859,0.0205489339999999,0.018885182,0.0089786658,0.0024293397
8912,"viandes, œufs, poissons",charcuteries,"Quenelle de volaille, en sauce","Poultry quenelle, in sauce",mix de consommation FR,0,Glacé,LPDE,Four ,2.66,0.8642795900000001,0.70214486,0.08002859,0.0205489339999999,0.018885182,0.0089786658,0.033694973
8937,"viandes, œufs, poissons",charcuteries,"Quenelle nature, crue","Quenelle, plain, raw",mix de consommation FR,0,Glacé,LPDE,Pas de préparation,2.55,0.3806404399999999,0.29188792,0.041471904,0.020551278,0.015323894,0.0089786658,0.0024293397
25405,entrées et plats composés,"pizzas, tartes et crêpes salées",Quiche lorraine,Quiche Lorraine (eggs and lardoons quiche),mix de consommation FR,0,Glacé,Carton,Four ,1.93,0.63644946,0.47843521,0.082887982,0.01560321,0.016812033,0.0089786658,0.033694973
9341,produits céréaliers,"pâtes, riz et céréales","Quinoa, bouilli/cuit à l'eau, non salé","Quinoa, boiled/cooked in water, unsalted",mix de consommation FR,0,Ambiant (moyenne),PP,Micro onde,3.3,0.1526549999999999,0.12303299,0.0,0.0069427899,0.015957784,0.0027090123,0.004012423
